model,auroc,auprc,accuracy,precision,recall,f1,specificity,tn,fp,fn,tp
Baseline RNN,0.7656289308176103,0.29789455185491726,0.7428842504743833,0.2140468227424749,0.64,0.3208020050125313,0.7536687631027253,719,235,36,64
Improved BiGRU,0.7964989517819706,0.3380670548479434,0.6736242884250474,0.19035532994923857,0.75,0.30364372469635625,0.6656184486373166,635,319,25,75
