trial,hidden_dim,num_layers,dropout,lr,batch_size,weight_decay,auroc,auprc,accuracy,precision,recall,f1,specificity,tn,fp,fn,tp
2,64,1,0.2,0.001,32,0.0001,0.8238102171561694,0.4148161469958648,0.8072174738841406,0.2875,0.6831683168316832,0.4046920821114369,0.8203781512605042,781,171,32,69
4,128,1,0.3,0.0005,32,0.0001,0.827471087444879,0.41341447167107365,0.7521367521367521,0.24193548387096775,0.7425742574257426,0.36496350364963503,0.7531512605042017,717,235,26,75
1,32,1,0.2,0.001,32,0.0001,0.8318183709127216,0.4114248516186756,0.7492877492877493,0.2476780185758514,0.7920792079207921,0.37735849056603776,0.7447478991596639,709,243,21,80
3,64,2,0.3,0.001,32,0.0001,0.8185581163158332,0.4013360238433471,0.6381766381766382,0.1902654867256637,0.8514851485148515,0.31103074141048825,0.615546218487395,586,366,15,86
5,64,2,0.4,0.0005,64,1e-05,0.8264830684749146,0.38660423496327895,0.7521367521367521,0.2468354430379747,0.7722772277227723,0.37410071942446044,0.75,714,238,23,78
